作者HCYPMGO (黑白郎君)看板Stock標題[新聞] 台股將添活水…勞動基金買股 1,540億上膛時間Tue Sep 12 07:21:49 2023
→ on32        : 去年15000以下護盤不都賺錢了 真的不會多想想呢 09/12 09:57

→ on32        : 散戶只要說護盤就是要酸說 送錢 09/12 09:57

→ on32        : 股票能預測漲跌 那你覺得在護盤怎不放空笑死 09/12 09:57

→ on32        : 誰都不能預測好嗎 都是猜而已 長期走多才是真的 09/12 09:58

→ on32        : 去年15000跌破就護盤了 誰跟你12600護盤 神嗎 09/12 09:59

→ on32        : 猜的到12600低點 大家都E萬富翁了 笑死 09/12 09:59

推 alphish     : 有政府，會護盤  賺錢就是這麼簡單~ 09/12 10:00

推 kuosos520   : 有政府，好安心 09/12 10:07

噓 eddiefunnyyy: 活水就是被提款 09/12 10:07

→ jinhouse123 : 舒服，錢越來越薄。。 09/12 10:13

推 j198811     : 注意 09/12 10:15

推 z030060374  : 拿我的錢投資有跟我講嗎 09/12 10:16

噓 giips111078 : 有看過要破產的人一直投資嗎 09/12 10:20

噓 winner0429  : 12月決標 投入市場也要明年 甚至農曆年後了 09/12 10:20

→ liang0224   : 小心跟自己的錢作對 09/12 10:24

推 pivotalHarry: 注意 09/12 10:26

推 jesiuty     : 你興奮我活水 09/12 10:30

推 topfree     : 完了 你注意我也注意 但方向不一樣 09/12 10:31

推 lolicat     : 好了 大家可以進場了 09/12 10:35

推 ppav0v0v    : 莊家進場還做空？ 09/12 10:44

推 yukiinsummer: 注意！ 09/12 10:46

→ u6vu040531  : 哈哈拿自己的錢給自己對做，我好韭哈哈哈 09/12 10:47

推 Loda29      : 用各位的錢護盤，好爽喔 09/12 10:47

推 TitanEric   : 應注意！ 09/12 10:48

推 Delerium    : 注意 要幫大家下車了 09/12 10:52

推 blueflier   : 會說賠錢的應該連怎麼登進去看自己專戶都不知道吧 09/12 10:58

→ ibetitisnot : 注意還動啊 09/12 11:00

推 aertina     : 當初萬六護到萬四的既視感 09/12 11:01

推 dangu4rmp   : ㄇㄉ 今天放空被嘎爛 09/12 11:01

→ AndyMAX     : …今年基金12月底才會進場 09/12 11:07

推 jimhall     : 六千點進場 09/12 11:09

→ Kenhon      : 台幣一直貶 cc 09/12 11:09

→ Tenging     : 12月來送頭的 09/12 11:10

推 ggyaining   : 注意 退休金要賠光了 09/12 11:10

→ lee28119    : 勞退基金跟國安基金的績效天差地別欸 誰要跟？ 09/12 11:20

→ pingwawa    : 可憐的勞工 勞動基金還要幫忙炒股 09/12 11:28

推 rismy1213   : 黑手：明年要選舉，還把我當塑膠？！ 09/12 11:33

推 tf010714    : 你各位的退休金來嘍 09/12 11:34

推 stlinman    : 注意 09/12 11:47

推 Voony       : 台股一年四季都活水、中鋼月月來春燕 09/12 11:48

推 maticsakura : 注意 09/12 12:07

噓 oldEn15     : 送錢給外資，真的很可悲 09/12 12:07

推 Waitaha     : 關鍵字：12月決標 09/12 12:13

推 Waitaha     : 12月剛好是底部 09/12 12:15

推 agvnol      : 上看18000 09/12 12:17

噓 lltools     : 提款機補錢了，你各位的退休金都要被護光光囉 09/12 12:22

推 CTC0115     : 補鈔快被領完了吧 09/12 12:25

→ CTC0115     : 電梯準備向下了 09/12 12:25

推 kenndy      : 小兒：嘻嘻 09/12 12:35

→ kenndy      : 好用的ATM 09/12 12:36

→ cityport    : 股市的活水 = 勞工的屍水 09/12 12:40

推 billionaire : 猛 09/12 12:41

→ scm0007     : 故意營造救世主之姿，實際早就先偷看答案，所以接買 09/12 12:48

→ scm0007     : 完後，等後面韭菜再割！ 09/12 12:48

→ jeliang     : 新鮮的韭菜 09/12 12:48

→ scm0007     : 沒有護盤與選舉行情，只有韭菜收割行情，看你被美 09/12 12:54

→ scm0007     : 國割還是綠政府割而已。 09/12 12:54

推 asd33893389 : 注意 09/12 12:56

→ babyMclaren : 勞工錢又要來救市了 09/12 12:58

推 sunday0913  : 年底撥款,呵呵 09/12 12:59

推 knik119     : 委託不敗教主，績效最好 09/12 13:11

推 LinZuoMa    : 把錢還我，我不需要專家幫我 09/12 13:13

推 ericwang1017: 什麼時候開放個人選股啦 09/12 13:24

噓 AMDMARSHAL  : 注意 09/12 13:39

推 snowish     : 莊家：我錢印好了 09/12 14:17

推 empirica    : 正2歡迎抬轎 09/12 14:43

推 lakershank  : 問就是 春燕 活水 基本面 09/12 15:46

→ odiechiang  : 分六家不如分六支ETF 09/12 16:12

推 wz02022     : 外資準備狙擊 09/12 17:56

推 kai2573     : 空空瑟瑟發抖 09/12 19:53

推 sw9294      : 底層勞工韭菜發薪日，台股也有活水 09/12 19:57

→ mcucte      : 你的錢不是你的錢 09/13 07:54

推 Qkirito     : 不知道為什麼 第一念頭想到污錢 09/14 02:24
